,County,Number of Students,Elementary school Plan,Secondary School Plan,Risk
1,Albermarle,14435.0,All virtual ,All virtual ,Low
2,Alexandria,16307.0,All Virtual,All Virtual,Low
7,Arlington,28151.0,All Virtual,All Virtual,Low
14,Brunswick,1538.0,All virtual ,All virtual ,Low
19,Caroline,4253.0,All Virtual,All Virtual,Low
22,Charlotte,1763.0,All virtual ,All virtual,Low
23,Charolttesville,4549.0,All Virtual,All Virtual,Low
24,Cheaspeake,41597.0,All Virtual,All Virtual,Low
25,Chesterfield*,62669.0,All Virtual,All Virtual,Low
27,Colonial Heights,2899.0,All students 5 days in-person 5 hours a day,All students 5 days in-person 5 hours a day,Low
31,Cumberland,1321.0,All virtual,All virtual,Low
32,Danville,5702.0,All virtual,All virtual,Low
37,Fairfax,188940.0,All Virtual,All Virtual,Low
38,Fairfax City,1078.0,All Virtual,All Virtual,Low
39,Falls Church,2649.0,All virtual,All virtual,Low
40,Fauquier,11181.0,All Virtual,All Virtual,Low
42,Fluvanna,3549.0,All Virtual,All Virtual,Low
43,Franklin City,,All virtual,All Virtual,Low
46,Fredericksburg,3763.0,All virtual ,All virtual,Low
47,Galax,1338.0,All virtual,All virtual,Low
49,Gloucester,5306.0,All Virtual,All Virtual,Low
50,Goochland,2619.0,All Virtual,All Virtual,Low
53,Greensville,2223.0,All Virtual,All Virtual,Low
54,Halifax,4896.0,All Virtual,All Virtual,Low
55,Hampton,19590.0,All Virtual,All Virtual,Low
57,Harrisonburg,6613.0,All Virtual,All Virtual,Low
58,Henrico,51786.0,All virtual,All virtual,Low
59,Henry,7381.0,All virtual,All Virtual,Low
61,Hopewell,4283.0,All Virtual,All Virtual,Low
63,James City,,All virtual,All virtual,Low
65,King George,4518.0,All virtual ,All virtual,Low
67,Lancaster,1079.0,All Virtual,All Virtual,Low
70,Loudoun,83936.0,All virtual,All virtual,Low
75,Manassas City,7789.0,All virtual ,All virtual,Low
76,Manassas Park,3641.0,All virtual ,All virtual,Low
77,Martinsville,1930.0,All virtual,All Virtual,Low
79,Mecklenburg,4205.0, All students 4 days in-school and 1 day virtual, All students 4 days in-school and 1 day virtual,Low
84,Newport News,28655.0,All Virtual,All Virtual,Low
85,Norfolk,29851.0,All virtual,All virtual,Low
89,Nottoway,1990.0,All Virtual,All Virtual,Low
92,Patrick,2558.0,All virtual,All Virtual,Low
93,Petersburg,4211.0,All Virtual,All Virtual,Low
94,Pittsylvania,8723.0,All Virtual,All Virtual,Low
96,Portsmouth,13991.0,All Virtual,All Virtual,Low
98,Prince Edward,2057.0,All Virtual,All Virtual,Low
100,Prince William,92270.0,All virtual ,All virtual,Low
104,Richmond City,25212.0,All virtual ,All virtual ,Low
106,Roanoke City,14049.0,All Virtual,All Virtual,Low
113,Shenandoah,6006.0,All Virtual,All Virtual,Low
114,Smyth,4269.0,All virtual,All virtual,Low
115,Southampton,2803.0,All virtual,All Virtual,Low
116,Spotsylvania,23903.0,All virtual ,All virtual,Low
117,Stafford,30120.0,All Virtual,All Virtual,Low
119,Suffolk,14323.0,All virtual,All Virtual,Low
120,Surry,738.0,All Virtual,All Virtual,Low
121,Sussex,1095.0,All Virtual tentatively,All Virtual tentatively,Low
123,Virginia Beach,68706.0,All Virtual,All Virtual,Low
124,Warren,5376.0,All students 4 days in-school and 1 day virtual,1 day in school and 4 days virtual,Low
125,Washington,7052.0,All virtual,All virtual,Low
126,Waynesboro,2961.0,All remote,All remote,Low
127,Westmoreland,1603.0,All Virtual,All Virtual,Low
128,Willamsburg,11805.0,All virtual,All virtual,Low
131,Wythe,3982.0,All virtual,All virtual,Low
132,York,13184.0,All Virtual,All Virtual,Low
